feature,fscore
BUK_mean_no_receivable_1h_per_city,0.0010649627263045794
BUK_mean_no_sessions_1h_per_first_key_event,0.0010649627263045794
BUK_std_no_bus_created_1h_per_city,0.0010649627263045794
BUK_mean_no_sale_1h_per_source_l1,0.0010649627263045794
BUK_std_time_to_third_event_from_registration_per_second_key_event,0.0010649627263045794
BUK_std_no_screens_12h_per_source_l1,0.0010649627263045794
BUK_std_no_sale_24h_per_source_l2,0.0010649627263045794
BUK_mean_no_receivable_1h_per_third_key_event,0.0010649627263045794
BUK_mean_no_sessions_24h_per_bus_cat_most_used,0.0010649627263045794
BUK_time_to_receive_otp_from_installation,0.0010649627263045794
BUK_no_bus_created_1h,0.0010649627263045794
BUK_std_no_sale_w_cogs_12h_per_source_l2,0.0010649627263045794
BUK_mean_no_payment_in_24h_per_bus_cat_most_used,0.0010649627263045794
BUK_mean_no_receivable_1h_per_bus_cat_most_used,0.0010649627263045794
BUK_mean_time_to_second_event_from_registration_per_bus_cat_most_used,0.0010649627263045794
BUK_std_no_sale_1h_per_source_l2,0.0010649627263045794
BUK_std_no_sale_1h_per_city,0.0010649627263045794
BUK_source_l0_source_l2_count,0.0010649627263045794
BUK_std_no_receivable_1h_per_city,0.0010649627263045794
BUK_std_no_receivable_1h_per_source_l2,0.0010649627263045794
BUK_mean_no_screens_1h_per_city,0.0010649627263045794
BUK_mean_no_sale_w_cogs_12h_per_source_l2,0.0010649627263045794
BUK_std_no_screens_1h_per_second_key_event,0.0010649627263045794
BUK_std_no_sale_w_cogs_72h_per_bus_cat_most_used,0.0010649627263045794
BUK_std_no_sessions_72h_per_source_l2,0.0010649627263045794
BUK_std_time_to_register_from_otp_per_city,0.0010649627263045794
BUK_std_time_to_third_event_from_installation_per_source_l2,0.0010649627263045794
BUK_std_no_receivable_12h_per_second_key_event,0.0010649627263045794
BUK_mean_no_inventory_1h_per_bus_cat_most_used,0.0010649627263045794
BUK_source_l1_user_segment_count,0.0010649627263045794
BUK_mean_time_to_receive_otp_from_installation_per_second_key_event,0.0010649627263045794
BUK_std_no_screens_12h_per_third_key_event,0.0005324813631522897
BUK_std_no_screens_12h_per_source_l2,0.0005324813631522897
BUK_mean_no_sale_w_cogs_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_screens_72h_per_source_l1,0.0005324813631522897
BUK_bus_cat_most_used_count,0.0005324813631522897
BUK_std_no_bus_created_1h_per_source_l1,0.0005324813631522897
BUK_mean_no_sale_w_cogs_72h_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_no_screens_72h_per_city,0.0005324813631522897
BUK_std_no_bus_created_72h_per_source_l2,0.0005324813631522897
BUK_mean_time_to_second_event_from_installation_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_no_inventory_72h_per_city,0.0005324813631522897
BUK_mean_no_receivable_24h_per_first_key_event,0.0005324813631522897
BUK_std_no_inventory_1h_per_third_key_event,0.0005324813631522897
BUK_mean_time_to_third_event_from_installation_per_bus_cat_most_used,0.0005324813631522897
BUK_std_time_to_third_event_from_registration_per_source_l2,0.0005324813631522897
BUK_std_no_sale_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_screens_1h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_sessions_24h_per_city,0.0005324813631522897
BUK_std_no_payment_out_72h_per_city,0.0005324813631522897
BUK_mean_no_bus_created_24h_per_bus_cat_most_used,0.0005324813631522897
